CRq	LRq	Erq	ALT	NRQ	ATC
28.059	13.588	6.382	1.220	17.000	0.929
26.333	13.524	6.981	1.270	21.000	1.058
28.950	15.200	7.958	1.270	40.000	2.497
26.773	13.364	6.091	1.030	22.000	1.122
30.590	14.551	6.790	1.400	39.000	2.454
28.389	14.417	9.269	1.430	36.000	2.090
27.727	13.909	7.059	1.280	22.000	1.200
30.867	15.133	8.420	1.420	30.000	1.966
27.870	12.304	7.835	1.120	23.000	1.102
29.897	13.793	6.341	1.510	29.000	1.682
29.650	13.750	6.985	1.470	20.000	1.140
26.700	12.800	6.350	1.270	20.000	0.989
29.481	13.185	6.481	1.380	27.000	1.484
28.688	15.375	8.431	1.020	16.000	1.000
29.308	13.769	6.277	1.230	26.000	1.478
30.829	15.029	12.586	1.500	35.000	2.310
33.316	15.684	13.479	1.240	19.000	1.408
32.714	14.571	12.129	1.010	7.000	0.466
28.850	13.750	7.335	1.300	20.000	1.140
29.526	13.789	7.068	1.150	19.000	1.088
29.875	13.500	7.856	1.100	16.000	0.908
30.875	14.333	6.967	1.470	24.000	1.489
33.333	15.048	12.843	1.280	21.000	1.502
29.500	13.364	8.795	1.000	22.000	1.215
32.769	16.000	11.777	1.170	13.000	0.968
30.458	14.042	8.204	1.080	24.000	1.459
29.364	14.545	15.450	1.180	22.000	1.326
29.417	13.750	6.725	1.310	12.000	0.689
29.111	16.111	8.244	1.320	9.000	0.602
34.500	16.318	8.823	1.460	22.000	1.742
31.263	15.474	8.537	1.350	19.000	1.290
29.273	14.909	7.991	1.170	22.000	1.355
30.423	16.231	7.450	1.490	26.000	1.805
29.000	12.333	4.867	1.100	6.000	0.299
33.833	16.500	6.425	1.650	24.000	1.886
27.222	12.222	5.233	1.150	9.000	0.428
29.762	14.048	7.429	1.260	21.000	1.248
32.600	15.320	8.848	1.370	25.000	1.747
31.250	14.500	8.517	1.350	12.000	0.771
31.733	13.667	8.940	0.990	15.000	0.914
31.720	14.600	11.956	1.310	25.000	1.634
29.350	13.950	12.315	1.170	20.000	1.176
27.429	13.857	10.657	0.620	7.000	0.374
27.111	11.167	7.533	0.880	18.000	0.766
